# Every address grammar this screen paints for a CARD and for a
# DETACHED PANEL, emitted from the composers in `src/address.rs` by
# handing each one a placeholder.
# Rewritten by setting PINION_REGEN_ADDRESS_PIN and running this
# example's `the_committed_grammar_is_what_the_composers_compose`
# test; do not hand-edit.
#
# kind<TAB>name<TAB>value -- const | grammar | id | part.
# A `grammar` value is a template: format it with the placeholders it
# carries. A `part` row is one word `{affordance}` can be. The `id`
# row composes an ARGUMENT for an address, not an address.
#
# ⚠ A `part` name carries its FAMILY (`card_close`, `float_close`).
# The word alone is what a card and a detached panel both offer, and
# a reader handed one for the other composes an address naming
# nothing — `painted_grammar.table` refuses such a row outright.
#
# ⚠ This screen's rail, palette and settings grammars are the next
# instalments; their absence here is unemitted, not unpainted.
const	CARD	card.
const	FLOAT	float.
grammar	card	card.{id}
grammar	card_affordance	card.{id}.{affordance}
grammar	card_bins	card.{id}.bins
grammar	card_byte	card.{id}.byte.{index}
grammar	card_bytegrid	card.{id}.bytegrid
grammar	card_bytes	card.{id}.bytes.{line}
grammar	card_caption	card.{id}.caption
grammar	card_cell	card.{id}.cell.{row}_{column}
grammar	card_cell_stem	card.{id}.cell.
grammar	card_chip	card.{id}.chip.{n}
grammar	card_chip_prefix	card.{id}.chip.
grammar	card_chips	card.{id}.chips
grammar	card_code	card.{id}.code
grammar	card_config	card.{id}.config
grammar	card_counts	card.{id}.counts
grammar	card_dist	card.{id}.dist
grammar	card_edit_bar	card.{id}.editbar
grammar	card_grid	card.{id}.grid
grammar	card_grip	card.{id}.grip
grammar	card_head	card.{id}.head
grammar	card_head_cell	card.{id}.head.{column}
grammar	card_head_cell_stem	card.{id}.head.
grammar	card_map_row	card.{id}.map.{row}
grammar	card_query	card.{id}.query
grammar	card_remedy	card.{id}.remedy
grammar	card_row	card.{id}.row.{row}
grammar	card_setting_arrow	card.{id}.config.arrow.{key}
grammar	card_setting_choose	card.{id}.config.choose.{key}
grammar	card_setting_shown	card.{id}.config.shown.{key}
grammar	card_sparkline	card.{id}.sparkline
grammar	card_stat	card.{id}.stat.{n}
grammar	card_stat_spark	card.{id}.stat.{n}.trail.spark
grammar	card_stepper	card.{id}.{verb}
grammar	card_tab	card.{id}.tab
grammar	card_tabs	card.{id}.tabs
grammar	card_tiles	card.{id}.tiles
grammar	card_tree	card.{id}.tree
grammar	card_tree_row	card.{id}.tree.{n}
grammar	float	float.{id}
grammar	float_affordance	float.{id}.{affordance}
grammar	float_badge	float.{id}.badge
grammar	float_resize	float.{id}.resize
id	card_id	{kind}#{ordinal}
part	card_close	card.{id}.close
part	card_maximize	card.{id}.maximize
part	card_settings	card.{id}.settings
part	card_tear_off	card.{id}.tear_off
part	float_close	float.{id}.close
part	float_redock	float.{id}.redock
part	float_send_home	float.{id}.send_home
